name,light_years_from_earth,planet_mass,stellar_magnitude,discovery_date 
HD 9174 b,266,1.11 Jupiters,8.4,2016
HD 92788 b,113,3.76 Jupiters,7.31637,2000
HD 92788 c,113,3.67 Jupiters,7.31637,2019
HD 93083 b,93,0.37 Jupiters,8.3,2005
HD 93351 b,183,3.53853 Earths,9.12,2022
HD 93351 c,183,13.31055 Jupiters,9.12,2022
HD 93385 b,141,4.2 Earths,7.49,2021
HD 93385 c,141,7.1 Earths,7.49,2021
HD 93385 d,141,8.7 Earths,7.49,2021
HD 93963 A b,269,7.8 Earths,9.182,2022
HD 93963 A c,269,19.2 Earths,9.182,2022
HD 9446 b,164,0.7 Jupiters,8.35,2009
HD 9446 c,164,1.82 Jupiters,8.35,2009
HD 94834 b,320,1.26 Jupiters,7.6,2018
HD 95086 b,281,5 Jupiters,7.36,2013
HIP 48714 b,34,22.9 Earths,8.99,2020
HIP 5158 b,168,1.42 Jupiters,10.16,2009
HIP 5158 c,168,15.04 Jupiters,10.16,2011
HIP 54373 b,61,8.62 Earths,10.38,2019
HIP 54373 c,61,12.44 Earths,10.38,2019
HIP 55507 b,83,8.25957 Jupiters,9.8,2022
HIP 56640 b,399,6.76984 Jupiters,7.94,2021
HIP 57274 b,84,6.3566 Earths,8.97,2011
HIP 57274 c,84,0.40902 Jupiters,8.97,2011
HIP 57274 d,84,0.5267 Jupiters,8.97,2011
HIP 5763 b,104,0.51 Jupiters,9.82,2021
HIP 63242 b,510,9.18 Jupiters,6.86,2013
HIP 65407 b,202,0.428 Jupiters,9.38,2016
HIP 65407 c,202,0.784 Jupiters,9.38,2016
HIP 65426 b,355,9 Jupiters,7.01,2017
HIP 65891 b,490,6.08401 Jupiters,6.75,2015
HIP 65 A b,202,3.213 Jupiters,11,2020
HIP 67522 b,415,0.228 Jupiters,9.79,2020
HIP 67537 b,379,13.5584 Jupiters,6.43,2017
HIP 67851 b,209,1.56675 Jupiters,6.17,2015
HIP 67851 c,209,7.64758 Jupiters,6.17,2015
HIP 70849 b,78,9 Jupiters,10.421,2009
HIP 71135 b,105,18.8 Earths,10.53,2019
HIP 74890 b,257,2.4 Jupiters,7.05,2016
HIP 75056 A b,408,25 Jupiters,7.78,2021
HIP 105854 b,257,8.2 Jupiters,5.64,2014
HIP 107772 b,77,12.9 Earths,10.56,2020
HIP 107773 b,343,1.98 Jupiters,5.62,2015
HIP 109384 b,192,1.56 Jupiters,9.61,2016
HIP 109600 b,216,2.68 Jupiters,9.18,2016
HIP 114933 b,332,1.94 Jupiters,7.25,2021
HIP 116454 b,204,12.7132 Earths,10.19,2014
HIP 12961 b,76,0.36 Jupiters,10.25,2010
HIP 14810 b,165,3.9 Jupiters,8.520001,2005
HIP 14810 c,165,1.31 Jupiters,8.520001,2006
HIP 14810 d,165,0.59 Jupiters,8.520001,2009
HIP 19976 b,131,20.59095 Earths,10.48,2022
HIP 19976 c,131,29.89588 Jupiters,10.48,2022
HIP 21152 b,142,27.8 Jupiters,6.37009,2022
HIP 34222 b,74,0.83 Jupiters,10.14,2021
HIP 35173 b,108,12.7 Earths,9.01,2019
HIP 35965 b,164,8.01555 Jupiters,10.18,2022
HIP 38594 b,58,8.1 Earths,9.75,2020
HIP 38594 c,58,0.15228 Jupiters,9.75,2020
HIP 41378 b,347,6.83 Earths,8.93,2016
HIP 41378 c,347,7.08 Earths,8.93,2016
HIP 41378 d,347,14.9 Earths,8.93,2016
HIP 41378 e,347,26 Earths,8.93,2016
HIP 41378 f,347,0.233 Jupiters,8.93,2016
HIP 4845 b,69,14.4 Earths,10.06,2020
HIP 75092 b,266,1.79 Jupiters,7.11,2021
HIP 78530 b,446,23 Jupiters,7.1691,2010
HIP 79098 AB b,476,20.5 Jupiters,5.86,2019
HIP 79431 b,47,2.1 Jupiters,11.394,2009
HIP 8541 b,506,8.24857 Jupiters,7.88,2016
HIP 86221 b,96,0.71 Jupiters,9.25,2021
HIP 90988 b,307,2.09892 Jupiters,7.75,2021
HIP 91258 b,150,1.09 Jupiters,8.65,2013
HIP 94235 b,191,1.19247 Jupiters,8.31,2022
HIP 948 b,114,20.17031 Jupiters,9.92,2022
HIP 97166 b,215,20 Earths,9.92,2021
HIP 97166 c,215,9.9 Earths,9.92,2021
HIP 97233 b,334,20.13421 Jupiters,7.34,2014
HN Pegasi b,59,21.9987 Jupiters,5.97707,2006
HR 2562 b,111,30 Jupiters,6.11,2016
HR 5183 b,103,3.23 Jupiters,6.33432,2019
HR 810 b,56,2.27 Jupiters,5.4,1999
HR 858 b,104,5 Earths,6.38,2019
HR 858 c,104,4.42 Earths,6.38,2019
HR 858 d,104,5.32 Earths,6.38,2019
HR 8799 b,135,7 Jupiters,5.98,2008
HR 8799 c,135,10 Jupiters,5.98,2008
HR 8799 d,135,10 Jupiters,5.98,2008
HR 8799 e,135,10 Jupiters,5.98,2010
HU Aquarii AB b,627,5.9 Jupiters,16.183,2011
HIP 75092 b,266,1.79 Jupiters,7.11,2021
HIP 78530 b,446,23 Jupiters,7.1691,2010
HIP 79098 AB b,476,20.5 Jupiters,5.86,2019
HIP 79431 b,47,2.1 Jupiters,11.394,2009
HIP 8541 b,506,8.24857 Jupiters,7.88,2016
HIP 86221 b,96,0.71 Jupiters,9.25,2021
HIP 90988 b,307,2.09892 Jupiters,7.75,2021
HIP 91258 b,150,1.09 Jupiters,8.65,2013
HIP 94235 b,191,1.19247 Jupiters,8.31,2022
HIP 948 b,114,20.17031 Jupiters,9.92,2022
HIP 97166 b,215,20 Earths,9.92,2021
HIP 97166 c,215,9.9 Earths,9.92,2021
HIP 97233 b,334,20.13421 Jupiters,7.34,2014
HN Pegasi b,59,21.9987 Jupiters,5.97707,2006
HR 2562 b,111,30 Jupiters,6.11,2016
HR 5183 b,103,3.23 Jupiters,6.33432,2019
HR 810 b,56,2.27 Jupiters,5.4,1999
HR 858 b,104,5 Earths,6.38,2019
HR 858 c,104,4.42 Earths,6.38,2019
HR 858 d,104,5.32 Earths,6.38,2019
HR 8799 b,135,7 Jupiters,5.98,2008
HR 8799 c,135,10 Jupiters,5.98,2008
HR 8799 d,135,10 Jupiters,5.98,2008
HR 8799 e,135,10 Jupiters,5.98,2010
HU Aquarii AB b,627,5.9 Jupiters,16.183,2011
HIP 75092 b,266,1.79 Jupiters,7.11,2021
HIP 78530 b,446,23 Jupiters,7.1691,2010
HIP 79098 AB b,476,20.5 Jupiters,5.86,2019
HIP 79431 b,47,2.1 Jupiters,11.394,2009
HIP 8541 b,506,8.24857 Jupiters,7.88,2016
HIP 86221 b,96,0.71 Jupiters,9.25,2021
HIP 90988 b,307,2.09892 Jupiters,7.75,2021
HIP 91258 b,150,1.09 Jupiters,8.65,2013
HIP 94235 b,191,1.19247 Jupiters,8.31,2022
HIP 948 b,114,20.17031 Jupiters,9.92,2022
HIP 97166 b,215,20 Earths,9.92,2021
HIP 97166 c,215,9.9 Earths,9.92,2021
HIP 97233 b,334,20.13421 Jupiters,7.34,2014
HN Pegasi b,59,21.9987 Jupiters,5.97707,2006
HR 2562 b,111,30 Jupiters,6.11,2016
HR 5183 b,103,3.23 Jupiters,6.33432,2019
HR 810 b,56,2.27 Jupiters,5.4,1999
HR 858 b,104,5 Earths,6.38,2019
HR 858 c,104,4.42 Earths,6.38,2019
HR 858 d,104,5.32 Earths,6.38,2019
HR 8799 b,135,7 Jupiters,5.98,2008
HR 8799 c,135,10 Jupiters,5.98,2008
HR 8799 d,135,10 Jupiters,5.98,2008
HR 8799 e,135,10 Jupiters,5.98,2010
HU Aquarii AB b,627,5.9 Jupiters,16.183,2011
HIP 75092 b,266,1.79 Jupiters,7.11,2021
HIP 78530 b,446,23 Jupiters,7.1691,2010
HIP 79098 AB b,476,20.5 Jupiters,5.86,2019
HIP 79431 b,47,2.1 Jupiters,11.394,2009
HIP 8541 b,506,8.24857 Jupiters,7.88,2016
HIP 86221 b,96,0.71 Jupiters,9.25,2021
HIP 90988 b,307,2.09892 Jupiters,7.75,2021
HIP 91258 b,150,1.09 Jupiters,8.65,2013
HIP 94235 b,191,1.19247 Jupiters,8.31,2022
HIP 948 b,114,20.17031 Jupiters,9.92,2022
HIP 97166 b,215,20 Earths,9.92,2021
HIP 97166 c,215,9.9 Earths,9.92,2021
HIP 97233 b,334,20.13421 Jupiters,7.34,2014
HN Pegasi b,59,21.9987 Jupiters,5.97707,2006
HR 2562 b,111,30 Jupiters,6.11,2016
HR 5183 b,103,3.23 Jupiters,6.33432,2019
HR 810 b,56,2.27 Jupiters,5.4,1999
HR 858 b,104,5 Earths,6.38,2019
HR 858 c,104,4.42 Earths,6.38,2019
HR 858 d,104,5.32 Earths,6.38,2019
HR 8799 b,135,7 Jupiters,5.98,2008
HR 8799 c,135,10 Jupiters,5.98,2008
HR 8799 d,135,10 Jupiters,5.98,2008
HR 8799 e,135,10 Jupiters,5.98,2010
HU Aquarii AB b,627,5.9 Jupiters,16.183,2011
HU Aquarii AB c,627,4.5 Jupiters,16.183,2011
HW Virginis b,560,14.48228 Jupiters,10.5,2012
IC 4651 9122 b,2803,6.3 Jupiters,10.909,2018
Iota Draconis b,102,11.82 Jupiters,3.29668,2002
Iota Draconis c,102,15.6 Jupiters,3.29668,2022
K2-100 b,616,21.8 Earths,10.651,2016
K2-101 b,614,4.66 Earths,12.892,2016
K2-102 b,614,2.24 Earths,13.083,2016
K2-104 b,617,3.86 Earths,15.989,2016
K2-105 b,646,30 Earths,11.752,2017
K2-107 b,2235,0.84 Jupiters,13.012,2017
K2-108 b,1557,0.18689 Jupiters,12.339,2017
K2-10 b,888,27 Earths,12.429,2015
K2-110 b,380,16.7 Earths,11.985,2017
K2-111 b,654,5.29 Earths,11.13,2017
K2-111 c,654,11.3 Earths,11.13,2020
K2-113 b,2074,1.29 Jupiters,13.744,2017
K2-114 b,1552,2.01 Jupiters,14.55,2017
K2-115 b,1349,0.84 Jupiters,13.444,2017
K2-116 b,161,0.257 Earths,10.8,2017
K2-117 b,332,4.78 Earths,14.639,2017
K2-117 c,332,4.9 Earths,14.639,2017
K2-118 b,1049,6.99 Earths,14,2017
K2-119 b,1193,6.94 Earths,14.818,2017
K2-11 b,1074,0.14 Jupiters,13.409,2015
K2-120 b,944,4.7 Earths,14.092,2017
K2-121 b,553,0.139 Jupiters,13.229,2017
K2-122 b,235,1.65 Earths,13.105,2017
K2-123 b,527,8.05 Earths,14.781,2017
K2-124 b,458,8.75 Earths,16.692,2017
K2-125 b,405,5.39 Earths,16.4,2017
K2-126 b,336,4.54 Earths,12.759,2017
K2-127 b,2316,0.167 Jupiters,15.041,2017
K2-128 b,374,2.6 Earths,12.58,2017
K2-129 b,91,1.12 Earths,13.639,2017
K2-12 b,1065,6.04 Earths,12.38,2015
K2-130 b,385,2.1 Earths,12.676,2017
K2-131 b,497,6.3 Earths,12.129,2017
K2-132 b,1989,0.49 Jupiters,12.071,2017
K2-133 b,245,2.36 Earths,14.073,2017
K2-133 c,245,3.2 Earths,14.073,2017
K2-133 d,245,4.67 Earths,14.073,2017
K2-133 e,245,3.64 Earths,14.073,2019
K2-136 b,193,0.937 Earths,11.101,2017
K2-136 c,193,8.8 Earths,11.101,2017
K2-136 d,193,2.7 Earths,11.101,2017
K2-137 b,323,0.5 Jupiters,15.94,2017
K2-138 b,661,3.1 Earths,12.246,2017
K2-138 c,661,6.31 Earths,12.246,2017
K2-138 d,661,7.92 Earths,12.246,2017
K2-138 e,661,12.97 Earths,12.246,2017
K2-138 f,661,1.63 Earths,12.246,2017
K2-138 g,661,4.32 Earths,12.246,2021
K2-139 b,502,0.387 Jupiters,11.652,2017
K2-13 b,1117,4.23 Earths,12.882,2015
K2-140 b,1135,0.93 Jupiters,12.727,2017
K2-141 b,202,5.08 Earths,11.454,2018
K2-141 c,202,7.4 Earths,11.454,2018
K2-146 b,259,5.77 Earths,16.7,2018
K2-146 c,259,7.49 Earths,16.7,2019
K2-147 b,295,0.315 Earths,14.044,2018
K2-148 b,406,2.33 Earths,13.627,2018
K2-148 c,406,3.64 Earths,13.627,2018
K2-148 d,406,3.33 Earths,13.627,2018
K2-149 b,403,3.33 Earths,14.543,2018
K2-14 b,1188,20.7 Earths,15.78,2015
K2-150 b,334,4.66 Earths,15.784,2018
K2-151 b,227,2.83 Earths,14.175,2018
K2-152 b,354,5.86 Earths,13.728,2018
K2-153 b,467,4.66 Earths,14.96,2018
K2-154 b,422,4.62 Earths,13.861,2018
K2-154 c,422,4.94 Earths,13.861,2018
K2-155 b,237,3.89 Earths,12.773,2018
K2-155 c,237,7.27 Earths,12.773,2018
K2-155 d,237,4.27 Earths,12.773,2018
K2-138 e,661,12.97 Earths,12.246,2017
K2-138 f,661,1.63 Earths,12.246,2017
K2-138 g,661,4.32 Earths,12.246,2021
K2-139 b,502,0.387 Jupiters,11.652,2017
K2-13 b,1117,4.23 Earths,12.882,2015
K2-140 b,1135,0.93 Jupiters,12.727,2017
K2-141 b,202,5.08 Earths,11.454,2018
K2-141 c,202,7.4 Earths,11.454,2018
K2-146 b,259,5.77 Earths,16.7,2018
K2-146 c,259,7.49 Earths,16.7,2019
K2-147 b,295,0.315 Earths,14.044,2018
K2-148 b,406,2.33 Earths,13.627,2018
K2-148 c,406,3.64 Earths,13.627,2018
K2-148 d,406,3.33 Earths,13.627,2018
K2-149 b,403,3.33 Earths,14.543,2018
K2-14 b,1188,20.7 Earths,15.78,2015
K2-150 b,334,4.66 Earths,15.784,2018
K2-151 b,227,2.83 Earths,14.175,2018
K2-152 b,354,5.86 Earths,13.728,2018
K2-153 b,467,4.66 Earths,14.96,2018
K2-154 b,422,4.62 Earths,13.861,2018
K2-154 c,422,4.94 Earths,13.861,2018
K2-155 b,237,3.89 Earths,12.773,2018
K2-155 c,237,7.27 Earths,12.773,2018
K2-155 d,237,4.27 Earths,12.773,2018
K2-138 e,661,12.97 Earths,12.246,2017
K2-138 f,661,1.63 Earths,12.246,2017
K2-138 g,661,4.32 Earths,12.246,2021
K2-139 b,502,0.387 Jupiters,11.652,2017
K2-13 b,1117,4.23 Earths,12.882,2015
K2-140 b,1135,0.93 Jupiters,12.727,2017
K2-141 b,202,5.08 Earths,11.454,2018
K2-141 c,202,7.4 Earths,11.454,2018
K2-146 b,259,5.77 Earths,16.7,2018
K2-146 c,259,7.49 Earths,16.7,2019
K2-147 b,295,0.315 Earths,14.044,2018
K2-148 b,406,2.33 Earths,13.627,2018
K2-148 c,406,3.64 Earths,13.627,2018
K2-148 d,406,3.33 Earths,13.627,2018
K2-149 b,403,3.33 Earths,14.543,2018
K2-14 b,1188,20.7 Earths,15.78,2015
K2-150 b,334,4.66 Earths,15.784,2018
K2-151 b,227,2.83 Earths,14.175,2018
K2-152 b,354,5.86 Earths,13.728,2018
K2-153 b,467,4.66 Earths,14.96,2018
K2-154 b,422,4.62 Earths,13.861,2018
K2-154 c,422,4.94 Earths,13.861,2018
K2-155 b,237,3.89 Earths,12.773,2018
K2-155 c,237,7.27 Earths,12.773,2018
K2-155 d,237,4.27 Earths,12.773,2018
K2-156 b,490,1.37 Earths,13.4,2018
K2-157 b,973,0.972 Earths,12.942,2018
K2-158 b,644,7.46 Earths,11.774,2018
K2-158 c,644,2.18 Earths,11.774,2018
K2-159 b,558,5.73 Earths,11.995,2018
K2-15 b,1611,6.71 Earths,14.758,2015
K2-160 b,1029,10.2 Earths,12.838,2018
K2-161 b,2989,31.1 Earths,12.718,2018
K2-162 b,406,2.67 Earths,12.278,2018
K2-163 b,680,6.65 Earths,13.078,2018
K2-164 b,1225,10.6 Earths,11.352,2018
K2-165 b,439,2.17 Earths,11.332,2018
K2-165 c,439,3.03 Earths,11.332,2018
K2-165 d,439,7.5 Earths,11.332,2018
K2-166 b,1556,5.43 Earths,12.081,2018
K2-167 b,264,5.75 Earths,8.24,2018
K2-168 b,796,4.12 Earths,12.365,2018
K2-169 b,769,2.16 Earths,12.23,2018
K2-16 b,1093,4.74 Earths,14.668,2015
K2-16 c,1093,6.99 Earths,14.668,2015
K2-170 b,1282,2.6 Earths,12.668,2018
K2-170 c,1282,3.9 Earths,12.668,2018
K2-171 b,1977,7.69 Earths,12.745,2018
K2-172 b,815,3.42 Earths,12.5,2018
K2-172 c,815,10.4 Earths,12.5,2018
K2-156 b,490,1.37 Earths,13.4,2018
K2-157 b,973,0.972 Earths,12.942,2018
K2-158 b,644,7.46 Earths,11.774,2018
K2-158 c,644,2.18 Earths,11.774,2018
K2-159 b,558,5.73 Earths,11.995,2018
K2-15 b,1611,6.71 Earths,14.758,2015
K2-160 b,1029,10.2 Earths,12.838,2018
K2-161 b,2989,31.1 Earths,12.718,2018
K2-162 b,406,2.67 Earths,12.278,2018
K2-163 b,680,6.65 Earths,13.078,2018
K2-164 b,1225,10.6 Earths,11.352,2018
K2-165 b,439,2.17 Earths,11.332,2018
K2-165 c,439,3.03 Earths,11.332,2018
K2-165 d,439,7.5 Earths,11.332,2018
K2-166 b,1556,5.43 Earths,12.081,2018
K2-167 b,264,5.75 Earths,8.24,2018
K2-168 b,796,4.12 Earths,12.365,2018
K2-169 b,769,2.16 Earths,12.23,2018
K2-16 b,1093,4.74 Earths,14.668,2015
K2-16 c,1093,6.99 Earths,14.668,2015
K2-170 b,1282,2.6 Earths,12.668,2018
K2-170 c,1282,3.9 Earths,12.668,2018
K2-171 b,1977,7.69 Earths,12.745,2018
K2-172 b,815,3.42 Earths,12.5,2018
K2-172 c,815,10.4 Earths,12.5,2018
K2-156 b,490,1.37 Earths,13.4,2018
K2-157 b,973,0.972 Earths,12.942,2018
K2-158 b,644,7.46 Earths,11.774,2018
K2-158 c,644,2.18 Earths,11.774,2018
K2-159 b,558,5.73 Earths,11.995,2018
K2-15 b,1611,6.71 Earths,14.758,2015
K2-160 b,1029,10.2 Earths,12.838,2018
K2-161 b,2989,31.1 Earths,12.718,2018
K2-162 b,406,2.67 Earths,12.278,2018
K2-163 b,680,6.65 Earths,13.078,2018
K2-164 b,1225,10.6 Earths,11.352,2018
K2-165 b,439,2.17 Earths,11.332,2018
K2-165 c,439,3.03 Earths,11.332,2018
K2-165 d,439,7.5 Earths,11.332,2018
K2-166 b,1556,5.43 Earths,12.081,2018
K2-167 b,264,5.75 Earths,8.24,2018
K2-168 b,796,4.12 Earths,12.365,2018
K2-169 b,769,2.16 Earths,12.23,2018
K2-16 b,1093,4.74 Earths,14.668,2015
K2-16 c,1093,6.99 Earths,14.668,2015
K2-170 b,1282,2.6 Earths,12.668,2018
K2-170 c,1282,3.9 Earths,12.668,2018
K2-171 b,1977,7.69 Earths,12.745,2018
K2-172 b,815,3.42 Earths,12.5,2018
K2-172 c,815,10.4 Earths,12.5,2018
K2-156 b,490,1.37 Earths,13.4,2018
K2-157 b,973,0.972 Earths,12.942,2018
K2-158 b,644,7.46 Earths,11.774,2018
K2-158 c,644,2.18 Earths,11.774,2018
K2-159 b,558,5.73 Earths,11.995,2018
K2-15 b,1611,6.71 Earths,14.758,2015
K2-160 b,1029,10.2 Earths,12.838,2018
K2-161 b,2989,31.1 Earths,12.718,2018
K2-162 b,406,2.67 Earths,12.278,2018
K2-163 b,680,6.65 Earths,13.078,2018
K2-164 b,1225,10.6 Earths,11.352,2018
K2-165 b,439,2.17 Earths,11.332,2018
K2-165 c,439,3.03 Earths,11.332,2018
K2-165 d,439,7.5 Earths,11.332,2018
K2-166 b,1556,5.43 Earths,12.081,2018
K2-167 b,264,5.75 Earths,8.24,2018
K2-168 b,796,4.12 Earths,12.365,2018
K2-169 b,769,2.16 Earths,12.23,2018
K2-16 b,1093,4.74 Earths,14.668,2015
K2-16 c,1093,6.99 Earths,14.668,2015
K2-170 b,1282,2.6 Earths,12.668,2018
K2-170 c,1282,3.9 Earths,12.668,2018
K2-171 b,1977,7.69 Earths,12.745,2018
K2-172 b,815,3.42 Earths,12.5,2018
K2-172 c,815,10.4 Earths,12.5,2018
K2-173 b,746,3.22 Earths,12.523,2018
K2-174 b,326,7.27 Earths,12.456,2018
K2-175 b,807,4.81 Earths,10.836,2018
K2-176 b,807,2.83 Earths,12.909,2018
K2-177 b,1605,5.13 Earths,12.681,2018
K2-178 b,701,12.4 Earths,12.382,2018
K2-179 b,622,6.86 Earths,12.939,2018
K2-17 b,408,5.6 Earths,13.411,2015
K2-180 b,665,11.44182 Earths,12.557,2018
K2-181 b,1177,8.45 Earths,12.669,2018
K2-182 b,505,20 Earths,11.833,2018
K2-183 b,1073,1.37 Earths,12.867,2018
K2-183 c,1073,5.9 Earths,12.867,2018
K2-183 d,1073,5.9 Earths,12.867,2018
K2-184 b,247,2.76 Earths,10.345,2018
K2-185 b,875,1.6 Earths,12.235,2018
K2-185 c,875,6.3 Earths,12.235,2018
K2-186 b,1079,10.2 Earths,12.413,2018
K2-187 b,1079,1.87 Earths,13.102,2018
K2-187 c,1079,2.54 Earths,13.102,2018
K2-187 d,1079,6.35 Earths,13.102,2018
K2-187 e,1079,4.27 Earths,13.102,2018
K2-188 b,1458,2.39 Earths,12.657,2018
K2-188 c,1458,8.4 Earths,12.657,2018
K2-189 b,790,2.92 Earths,12.398,2018
K2-173 b,746,3.22 Earths,12.523,2018
K2-174 b,326,7.27 Earths,12.456,2018
K2-175 b,807,4.81 Earths,10.836,2018
K2-176 b,807,2.83 Earths,12.909,2018
K2-177 b,1605,5.13 Earths,12.681,2018
K2-178 b,701,12.4 Earths,12.382,2018
K2-179 b,622,6.86 Earths,12.939,2018
K2-17 b,408,5.6 Earths,13.411,2015
K2-180 b,665,11.44182 Earths,12.557,2018
K2-181 b,1177,8.45 Earths,12.669,2018
K2-182 b,505,20 Earths,11.833,2018
K2-183 b,1073,1.37 Earths,12.867,2018
K2-183 c,1073,5.9 Earths,12.867,2018
K2-183 d,1073,5.9 Earths,12.867,2018
K2-184 b,247,2.76 Earths,10.345,2018
K2-185 b,875,1.6 Earths,12.235,2018
K2-185 c,875,6.3 Earths,12.235,2018
K2-186 b,1079,10.2 Earths,12.413,2018
K2-187 b,1079,1.87 Earths,13.102,2018
K2-187 c,1079,2.54 Earths,13.102,2018
K2-187 d,1079,6.35 Earths,13.102,2018
K2-187 e,1079,4.27 Earths,13.102,2018
K2-188 b,1458,2.39 Earths,12.657,2018
K2-188 c,1458,8.4 Earths,12.657,2018
K2-189 b,790,2.92 Earths,12.398,2018
K2-189 c,790,6.8 Earths,12.398,2018
K2-18 b,124,8.92 Earths,13.477,2015
K2-18 c,124,7.51 Earths,13.477,2017
K2-190 b,524,2.41 Earths,11.138,2018
K2-190 c,524,1.34 Earths,11.138,2018
K2-191 b,937,3.12 Earths,13.329,2018
K2-192 b,723,2.92 Earths,12.656,2018
K2-193 b,1344,14.8 Earths,13.341,2018
K2-194 b,2053,12.9 Earths,12.998,2018
K2-195 b,1028,9.96 Earths,12.524,2018
K2-195 c,1028,7.16 Earths,12.524,2018
K2-196 b,1908,12.6 Earths,12.241,2018
K2-197 b,808,7.08 Earths,12.199,2018
K2-198 b,361,16.3 Earths,10.971,2018
K2-198 c,361,2.61 Earths,10.971,2019
K2-198 d,361,6.52 Earths,10.971,2019
K2-199 b,351,6.9 Earths,12.358,2018
K2-199 c,351,12.4 Earths,12.358,2018
K2-19 b,945,32.4 Earths,13.024,2015
K2-19 c,945,10.8 Earths,13.024,2015
K2-19 d,945,10 Earths,13.024,2016
K2-200 b,601,2.43 Earths,12.428,2018
K2-201 b,646,2.54 Earths,12.168,2018
K2-201 c,646,10.8 Earths,12.168,2018
K2-202 b,980,5.91 Earths,13.354,2018
K2-189 c,790,6.8 Earths,12.398,2018
K2-18 b,124,8.92 Earths,13.477,2015
K2-18 c,124,7.51 Earths,13.477,2017
K2-190 b,524,2.41 Earths,11.138,2018
K2-190 c,524,1.34 Earths,11.138,2018
K2-191 b,937,3.12 Earths,13.329,2018
K2-192 b,723,2.92 Earths,12.656,2018
K2-193 b,1344,14.8 Earths,13.341,2018
K2-194 b,2053,12.9 Earths,12.998,2018
K2-195 b,1028,9.96 Earths,12.524,2018
K2-195 c,1028,7.16 Earths,12.524,2018
K2-196 b,1908,12.6 Earths,12.241,2018
K2-197 b,808,7.08 Earths,12.199,2018
K2-198 b,361,16.3 Earths,10.971,2018
K2-198 c,361,2.61 Earths,10.971,2019
K2-198 d,361,6.52 Earths,10.971,2019
K2-199 b,351,6.9 Earths,12.358,2018
K2-199 c,351,12.4 Earths,12.358,2018
K2-19 b,945,32.4 Earths,13.024,2015
K2-19 c,945,10.8 Earths,13.024,2015
K2-19 d,945,10 Earths,13.024,2016
K2-200 b,601,2.43 Earths,12.428,2018
K2-201 b,646,2.54 Earths,12.168,2018
K2-201 c,646,10.8 Earths,12.168,2018
K2-202 b,980,5.91 Earths,13.354,2018
K2-189 c,790,6.8 Earths,12.398,2018
K2-18 b,124,8.92 Earths,13.477,2015
K2-18 c,124,7.51 Earths,13.477,2017
K2-190 b,524,2.41 Earths,11.138,2018
K2-190 c,524,1.34 Earths,11.138,2018
K2-191 b,937,3.12 Earths,13.329,2018
K2-192 b,723,2.92 Earths,12.656,2018
K2-193 b,1344,14.8 Earths,13.341,2018
K2-194 b,2053,12.9 Earths,12.998,2018
K2-195 b,1028,9.96 Earths,12.524,2018
K2-195 c,1028,7.16 Earths,12.524,2018
K2-196 b,1908,12.6 Earths,12.241,2018
K2-197 b,808,7.08 Earths,12.199,2018
K2-198 b,361,16.3 Earths,10.971,2018
K2-198 c,361,2.61 Earths,10.971,2019
K2-198 d,361,6.52 Earths,10.971,2019
K2-199 b,351,6.9 Earths,12.358,2018
K2-199 c,351,12.4 Earths,12.358,2018
K2-19 b,945,32.4 Earths,13.024,2015
K2-19 c,945,10.8 Earths,13.024,2015
K2-19 d,945,10 Earths,13.024,2016
K2-200 b,601,2.43 Earths,12.428,2018
K2-201 b,646,2.54 Earths,12.168,2018
K2-201 c,646,10.8 Earths,12.168,2018
K2-202 b,980,5.91 Earths,13.354,2018
K2-189 c,790,6.8 Earths,12.398,2018
K2-18 b,124,8.92 Earths,13.477,2015
K2-18 c,124,7.51 Earths,13.477,2017
K2-190 b,524,2.41 Earths,11.138,2018
K2-190 c,524,1.34 Earths,11.138,2018
K2-191 b,937,3.12 Earths,13.329,2018
K2-192 b,723,2.92 Earths,12.656,2018
K2-193 b,1344,14.8 Earths,13.341,2018
K2-194 b,2053,12.9 Earths,12.998,2018
K2-195 b,1028,9.96 Earths,12.524,2018
K2-195 c,1028,7.16 Earths,12.524,2018
K2-196 b,1908,12.6 Earths,12.241,2018
K2-197 b,808,7.08 Earths,12.199,2018
K2-198 b,361,16.3 Earths,10.971,2018
K2-198 c,361,2.61 Earths,10.971,2019
K2-198 d,361,6.52 Earths,10.971,2019
K2-199 b,351,6.9 Earths,12.358,2018
K2-199 c,351,12.4 Earths,12.358,2018
K2-19 b,945,32.4 Earths,13.024,2015
K2-19 c,945,10.8 Earths,13.024,2015
K2-19 d,945,10 Earths,13.024,2016
K2-200 b,601,2.43 Earths,12.428,2018
K2-201 b,646,2.54 Earths,12.168,2018
K2-201 c,646,10.8 Earths,12.168,2018
K2-202 b,980,5.91 Earths,13.354,2018
K2-223 c,648,2.86 Earths,11.443,2018
K2-224 b,898,3.05 Earths,12.7,2018
K2-224 c,898,6.39 Earths,12.7,2018
K2-225 b,1167,12 Earths,11.836,2018
K2-226 b,689,2.99 Earths,12.337,2018
K2-227 b,611,3.41 Earths,12.015,2018
K2-228 b,422,1.92 Earths,13.028,2018
K2-229 b,335,2.49 Earths,10.985,2018
K2-229 c,335,21.3 Earths,10.985,2018
K2-22 b,795,1.4 Jupiters,15.565,2015
K2-230 b,1764,4.5 Earths,12.789,2018
K2-231 b,1048,6.8 Earths,12.768,2018
K2-232 b,426,0.398 Jupiters,9.822,2018
K2-233 b,220,11.26 Earths,10.883,2018
